h5,7,6GAv2,zF,PYX,zOAa,kSKbU,1087083167133,0,2018-05-13,-9.99999998999985E8,X,2017-10-19,mITr,1420070400000,-9.99999999E8,4RE,3qAR,RF7uD,WRioj,SlZN6,A2EFi,HIA,D,2005-02-08,2004-08-04,2013-10-16,Renters,vnJG,2J,ZMV,foW,4Ai3h,8,DC,jlByy,BZ4,2005-03-16,1859,25,1
m,0,ZS6Os,ZX,IP,x,iEE,1381889990064,6,2008-07-21,-9.99999999E8,GpG,2019-07-21,711t,946684800000,-9.99999999E8,vxK,oVH,UwxHK,53xA,SQA,xk1X4,V,2SN,2019-08-23,2000-02-22,2007-12-26,Renters,bIo,phgh,fYwJ,bSzI8,4w5,9,WI,IQ9b,p,2012-02-20,1564,59,0
Uk,9,T7,OOR,waI8,1,9QuMP,1420070400000,9,2005-11-11,-9.99999999E8,Wznjy,2012-11-25,IYqm,1420070400000,-9.99999999E8,s,C,Sdcf,T6aS,sSuNS,ySy,Be,K,2019-12-05,2000-11-21,2008-12-26,Renters,I,JN,9S73,u,U,9,NY,k,mAZ,2016-09-23,1800,97,3
nEFK,9,l59T,cbw,4W,3wv,Y7D9,1213465952457,9,2004-10-14,9.999999999E9,wF,2010-09-01,F,1105316796962,9.999999999E9,9I1,Ffer,PH1sT,k,qs,yI,N5,90s,2001-01-19,2009-02-06,2009-12-20,Renters,ogO,dETRo,mi,Ze,5,7,MI,91xrC,LN,2001-08-26,1071,85,1
2,9,6KdJH,vYcfk,HQk,pQKfP,nQ,1093831101257,2,2002-11-08,9.999999999E9,V,2019-09-05,LoXFi,1420070400000,9.999999999E9,w34,4,8XGi,wBToL,T4d,mW6,jSwi,60xv,2002-11-27,2004-08-21,2011-12-01,Private Passenger,6,aFqD,qXt8z,1,k,9,MA,E,WJi,2005-04-06,1943,72,4
Cd,6,ZN,bvK,AZw,Ahuw8,nueb,1218582374639,9,2001-07-21,-9.99999999E8,7,2015-11-08,uUkI,946684800000,-9.99999999E8,Waaq,jA,LU7CO,v,6anWF,dnlHS,x9F,DP1R,2018-10-20,2014-09-09,2015-08-03,Renters,hdLh,Hp5ZU,Okr,U4IU6,7acPK,9,PA,S,5J5K,2008-01-26,1620,46,0
ng,9,S9U,OBz,LXPM,LP8J,fIQfs,1241352887229,0,2009-02-10,9.999999998999985E9,0UiO,2014-05-14,eUM,1420070400000,9.999999999E9,lxZ7,JIe2x,hSp,lyap,a9i,sTEVl,0Y,W,2012-04-03,2011-03-24,2009-10-28,Renters,xNR,Zn,R,z0Q,xu3J,9,AZ,o34,P,2013-04-28,1120,35,3
IsyD,8,1OTfW,urTh,2ZPCI,Mm,4,1420070400000,0,2008-10-19,9.999999999E9,Z4,2011-02-15,V,1404269984226,-9.99999999E8,Z7,GY,2Ylmi,x,y1DQ,ng6kl,7Cxz,2NEv8,2014-07-11,2002-09-20,2011-05-28,Private Passenger,RxL4,g,l9m,GL,6,0,VA,NKk,y3vKk,2012-06-22,899,27,1
y1u,9,ZlO,Gw,FV,Vq6,w0J0Q,946684800000,6,2005-10-15,9.999999999E9,XU,2002-10-20,Tm,1195855074800,-9.99999999E8,y,pxh,A,9L,gOsM,iNLQ,U,64Uj,2005-01-27,2003-04-25,2002-06-09,Private Passenger,UYyt,Kagm3,ikG2h,LWtd,QBuA,0,NJ,s,Fga,2008-07-04,1079,83,1
LJFnV,9,N,j,A9OCM,AZO,A3AZF,1420070400000,9,2009-05-13,-9.99999999E8,V,2007-09-01,c,1371998677952,9.999999998999985E9,RjcF,qFUIO,V,ii,sHl6x,r,Hs,fC34G,2015-01-03,2014-12-20,2017-11-05,Renters,hzwi,edCCg,5,2,KD,0,PA,8IQF6,a2x4p,2006-07-11,1988,71,4
cno,0,R5,5O,AIGbD,Pw,kUt,1420070400000,0,2012-03-18,-9.99999998999985E8,sgsKJ,2009-12-12,Gk,1281665685711,-9.99999999E8,V4,w,uL3P,ptq,St,anW,S6RO,mDNXn,2017-06-08,2002-12-13,2012-04-19,Private Passenger,bK,ymg1,j,gVZR,Q,9,NM,I3F,z,2006-02-23,1761,99,0
ID2L,9,m9iaA,tL,JS,5bUh7,p,1420070400000,9,2016-11-08,9.999999999E9,CSbI,2007-11-22,H6,1420070400000,-9.99999999E8,SEH,sZDZ,eWu,xM5Y,qs,3djR,x231,HXEJ,2017-07-07,2015-09-13,2018-07-22,Private Passenger,FN,5Io4,Xgb2i,mJT,4LxWe,0,NJ,qS0R9,9AZ,2008-10-10,964,43,1
Nn,9,ZllDX,lg,4,yLas,x,1420070400000,9,2009-07-27,-9.99999999E8,kb9z,2015-01-17,yinS,946684800000,-9.99999999E8,MCC77,3,K,m,l,lDjgA,LUj8x,XF,2000-04-21,2006-01-20,2005-05-21,Renters,C,Yasr,kRo0,UZw,RlZ,9,NJ,S,0p,2006-11-06,1014,62,4
Rk,0,KxPZ,99Z,S7lUn,c0,tP,1420070400000,0,2007-12-27,9.999999999E9,AGCg,2010-06-23,mqS,946684800000,9.999999998999985E9,zpink,rysg,W1,CT,OTFXT,5,h,N,2001-10-13,2018-08-01,2014-07-04,Renters,YY,X,a5,v,MFhS,0,AR,NZ,s8a,2000-08-27,1201,40,1
1qCy,9,wE,R,sY7,T,m4H,946684800000,4,2015-02-06,-9.99999999E8,Sy,2019-07-24,t,954639459632,9.999999998999985E9,X,JNXp,BOIqF,CKYe,0ZI,et,QU,rjM,2004-07-10,2000-09-13,2017-11-24,Renters,kr,Hk0Ak,vVZE,Y3pAT,v,7,WI,ieTBU,qm,2004-06-23,646,65,2
54VH,2,ZYQ,CO,CU,WLZ,F,1420070400000,0,2014-11-24,9.999999999E9,cl,2002-06-03,Had,946684800000,-9.99999999E8,2raiC,p,4t,e,C,IeWOV,tPsN,vY,2018-07-20,2011-08-23,2009-11-03,Private Passenger,wN,kH,lh,JnSb,uJI,9,FL,C3kB,5,2003-07-15,1151,29,3
KQH,9,mkiY,Hc,F8lyv,y,gJEe,1118230936279,0,2016-10-08,9.999999998999985E9,jzc,2000-10-16,2CDLO,1300177052032,-9.99999999E8,N,ENGrG,P,k4,A,atSg,TFX,TQB,2016-07-14,2009-02-07,2015-09-10,Private Passenger,tV,X,bG,e4T,5G,9,AZ,rayu,yt,2015-10-20,1997,37,2
vwWm,0,MfjjE,Q0y2w,Q,7Uy,18Eyp,1420070400000,2,2000-12-21,-9.99999999E8,WT,2007-12-18,gk1me,946684800000,9.999999999E9,VDz3W,moC4q,h,oebw,1gx,l6qGy,mD,F,2009-10-24,2011-12-23,2004-05-05,Private Passenger,Mbtg,B,oyVZ,j,Wx,3,NM,hL,19C,2008-11-09,1177,92,1
o,9,OHSW,8uU,x4e8N,rW,p,1420070400000,0,2007-09-15,9.999999999E9,Jq,2017-06-19,fnU,946684800000,9.999999999E9,0tIJw,zOEG,lI,W51d,g1sBo,VrWi3,n5iM,q3gHM,2018-05-08,2007-09-09,2003-07-08,Private Passenger,WjTw0,cI,B,9s,yfJx,0,SD,HFf,vS,2013-04-16,1507,42,0
bP3,9,zjpC,t8,rl5g,C9,IKy,946684800000,0,2018-05-16,-9.99999998999985E8,B,2011-08-27,T1D,972850989007,9.999999998999985E9,8VMp,7f7r,bx5Ko,Sm5Ms,b,9J,7,Ky,2009-03-26,2001-05-09,2000-01-01,Renters,aYxG,XIB,e,4,Fg0x,9,MD,CZo2,CSj4V,2011-10-18,1141,60,4
bz18z,3,N7c1R,cL7a,D9MV,PWo,WOd,946684800000,9,2009-06-28,9.999999999E9,G,2016-03-20,NZX,1420070400000,-9.99999999E8,qgge,Mv,a,7,JYapE,npV,TxKN1,Y9Am5,2016-11-18,2009-03-24,2004-12-11,Renters,86,5Ku5D,QwH,L,j,9,TN,ks,vhEwt,2007-06-14,723,96,4
J,6,EP,bwD,3,pWbxM,abC43,1194426543606,0,2009-12-17,-9.99999999E8,ik,2003-06-12,ce,1394986156514,-9.99999999E8,w5B5,P1,mU0gC,m,xh,Rywx,Z5YBC,WJxs,2014-02-19,2010-09-12,2010-04-16,Renters,ets,zi40,8dig,Yi49,ZMj7,0,AZ,av,LLy,2002-10-25,1678,46,1
SDVXE,9,v,PS6AK,ZczA,a1dQ,p3,946684800000,7,2004-02-23,9.999999999E9,S,2015-06-08,cm3,946684800000,9.999999999E9,oaXCr,Sd,Q0i,QH1q2,tu,nRj,dC,mvk0,2015-04-27,2004-12-04,2010-07-13,Renters,0j6Y,M,sD1,gTkv,V,9,AK,tY,zei,2013-02-19,1473,23,4
Z,9,ABc,xngj,4d,E,Nzh9y,946684800000,9,2003-01-26,9.999999999E9,R1,2005-07-28,O,1420070400000,-9.99999998999985E8,rI,U6,gnXN,PrTQg,Gs,4Hrb,uh1x,KiAL9,2005-12-20,2006-12-05,2003-08-15,Renters,u1ku,y6HC,T,1vh5,D,9,NH,rq,lY,2015-11-20,1468,41,1
gw4,0,01YO,O,li0O,E,zA,1348558439639,0,2011-07-02,9.999999998999985E9,nMKg,2004-04-02,jzzHO,946684800000,9.999999998999985E9,duV,VXZD,eP1R,GR,Q,9ICYs,SW5,Ki,2008-05-19,2013-10-02,2001-03-12,Private Passenger,WFT,vW,kwVoy,Kvid,W6,0,ID,8MOlo,I,2006-10-03,1661,91,2
kduWC,0,io,v,VrU,no6FH,1F0K,1420070400000,0,2002-09-10,-9.99999999E8,xBX9,2007-02-09,nGsXh,946684800000,9.999999999E9,Uj3v,DG2,Vq,arB,2z,hB,79Flv,t6g,2006-06-28,2012-06-25,2001-03-25,Renters,e,1cg,Thbu8,Ys,avg6I,9,AL,u,T,2014-08-22,1741,46,3
OeyQ,0,Imph3,eCT,I,GNsx,j,1246671261058,5,2007-11-13,-9.99999999E8,rKtzh,2010-02-09,H6,947899917219,-9.99999999E8,hZ,oR,ij,cCOSy,7,hn6,VtD3r,f9,2018-07-05,2005-03-26,2011-01-18,Private Passenger,MPCDN,prm2,4wd,q,Deh,0,VT,2oSzM,0,2006-12-15,1294,20,3
pfC9l,9,sRjr,6BJ,N,nV,VF,1420070400000,9,2008-09-23,-9.99999998999985E8,wkJYT,2004-03-20,nJIU,1357333334562,9.999999998999985E9,Zoqa,id82T,4pS,x5,NH1J1,PG,3DAz,Gmr,2003-07-01,2000-05-24,2001-12-12,Private Passenger,hyBQ,RT,N,s,trB,9,WV,I1PW,gpV,2006-12-19,1030,21,3
Q,9,4y3Y,DCJ,T,zvFGp,2Umn,1420070400000,9,2011-09-11,9.999999998999985E9,X0pt,2011-03-01,Kq,1264236761091,9.999999999E9,tCmv,r,jeMG,JexbZ,7h,IrPVR,WQZ61,FxEyF,2012-11-03,2006-02-05,2015-12-08,Private Passenger,lDa,g,RW0,o6Pb,q,9,DE,dMy,t1Z,2008-06-01,1164,99,1
cQxNL,9,sSe,7WwU,7T,eE,6Jn,1420070400000,8,2019-02-19,9.999999998999985E9,B4kf,2008-12-08,D,946684800000,9.999999999E9,B0p8M,S78QK,5k7,PJB,7,Ksn,Bg,E,2014-08-19,2010-05-18,2010-03-13,Private Passenger,wlB,I,e4gV5,oE2,3u,0,DE,V3,uYOM,2001-08-06,1569,47,4
D4xUh,3,8nZP,Vvi,Uk,qvY3k,v,946684800000,9,2013-02-14,9.999999999E9,wyd,2019-08-19,J,1241197701597,9.999999999E9,0dPmG,j,P,O,j,JBvL,K,ypw,2014-02-16,2007-12-21,2012-03-18,Private Passenger,8Q,hL,MH,68,6ISL,0,TX,6G,Tpt91,2007-01-28,776,56,2
Y5kg,0,O,ME7Q5,5b,K1wn4,qiup,946684800000,3,2006-12-21,-9.99999998999985E8,liTg,2000-07-01,yHHW,946684800000,9.999999998999985E9,3MIF,s,ge0,ANO,HIum9,1,W,W1w,2015-08-18,2004-12-19,2015-09-14,Private Passenger,E,4,iM,cHs,Iiig6,9,IL,q,c,2017-06-12,1888,92,3
U,9,xkp,L,6uXg,Fyi,5,1420070400000,6,2006-09-08,9.999999999E9,dYN,2001-05-11,QDA,946684800000,9.999999999E9,i1u,59wP,VI32,gWV1,lPq,E,2RvGF,7unp,2016-04-18,2005-04-22,2017-01-05,Private Passenger,U,QAp,PXF,8P,j,5,GA,E,KJkj,2003-07-12,1257,69,4
L7,0,p7Gg,E,XvHe,qN6,uE,1420070400000,0,2012-11-07,-9.99999999E8,m6h,2016-03-04,oHB8,946684800000,9.999999999E9,z5F,mA,i,0ONkj,WCaW,9a71,A24i8,5ck7N,2010-03-06,2017-01-23,2005-03-05,Renters,UbC,WGxQz,0,eVVlP,aYK1,0,SC,tv,t,2000-01-02,1688,68,3
zly,9,Gh,qm6r,4JGZ,2,6E4Rm,1420070400000,0,2005-10-03,9.999999998999985E9,yNUh,2014-02-27,quvR,946684800000,-9.99999999E8,vgE,V,eyVsJ,E,A,V7X4c,ka,dod,2003-04-08,2019-09-19,2003-12-11,Private Passenger,Ih5,an,Xuj,z,28x,7,SD,N,m,2014-02-07,1714,22,4
apdBV,2,o,ch,4rYR,HtA,VPv,1420070400000,9,2000-03-02,-9.99999999E8,ADM,2004-09-20,33x,946684800000,9.999999999E9,4RFw,1g,X,tE6,dVj7b,chr,hXS,EdbKR,2004-12-16,2008-05-13,2001-01-21,Renters,zX8,Wt,xGR,o,wL2E,9,KY,9,7,2008-07-18,1646,98,3
d8HJ,7,C6u,Ffn2K,Ivmrm,w,oR7ni,1177407669458,9,2018-01-19,9.999999999E9,yicNz,2008-01-13,Q,1420070400000,9.999999999E9,AHGv,zpV,ioY3,GZn,XSc,AG5TU,iyx,O,2019-09-19,2003-12-23,2004-10-19,Private Passenger,dB,tDe0,3cz4h,T,k,9,AL,tkQ,hNjxg,2011-07-11,1327,80,3
SQy,7,LlS,yt,2,Q9gw1,MVH,1182125076495,3,2006-03-04,9.999999998999985E9,p1Ec,2013-09-11,OEoHG,946684800000,-9.99999999E8,K,bRYD5,A,y,sU,0,mNSgb,8zrhm,2014-10-16,2008-06-14,2007-02-17,Private Passenger,K5J,o2c,LT,n,W,0,SD,XleVR,fK9BB,2015-05-28,785,35,3
PbD,9,97r0J,joG1,1Uqgp,xgvRv,1,946684800000,9,2011-05-18,-9.99999999E8,z,2014-05-18,zB,1323368118277,-9.99999999E8,D,67,9L,b,UU9,JGZT,H,s2Qs,2018-03-26,2014-08-06,2007-05-24,Private Passenger,1w,jNEL,5g7pi,QzGT,scby,3,GA,xnw,xt,2004-07-27,828,94,1
Ux,0,1h8C,tGk,SPJ,vNXVs,B,1289178433504,0,2002-11-09,-9.99999999E8,9n8N,2010-08-04,1G8,1102788102713,9.999999998999985E9,7opn,g58i,m0H,BtfE,jlL,UKORO,Rqm,I3ra,2009-08-17,2004-09-07,2003-01-15,Renters,eBtC,b,Pxnl,Di,3Or,2,UT,lGYV,DTsRt,2019-06-10,822,43,1
U,0,sqUb,8Up,67,jDRQ,XZ7OM,946684800000,3,2010-01-27,9.999999999E9,FbqO4,2014-09-05,Swk1O,946684800000,9.999999999E9,UWH7c,3tRFf,c,u,LvC,XC,03B,EduUi,2011-08-27,2007-08-19,2002-03-05,Renters,L,sWK,UX,oGZ,jbtA,2,ME,36JMy,g5Ze,2012-05-03,1298,61,3
u,9,1K,zW,6Cs,WsR,9bL,1420070400000,0,2004-08-25,-9.99999998999985E8,WS,2016-03-16,q,946684800000,-9.99999998999985E8,x0,xm4,x7YQ9,R4C,kIk,S,JqVVC,j6Gu,2015-06-07,2008-09-01,2011-02-24,Renters,zvJ,u,6W,H88B,d4oh,9,KS,Jemb4,4jZxd,2013-04-13,909,48,2
pF,5,UY1,bu,hmdhg,Y8v,oq,946684800000,9,2003-12-09,9.999999999E9,gic,2007-02-04,pRG,1420070400000,-9.99999999E8,6Y,3A2H,Y6n,QW8oo,8P,J,4fvy,Atyf,2007-07-20,2014-10-14,2013-12-02,Renters,e7,g41M,6aP,g3,Tad,9,HI,R4,mvfIC,2011-02-28,925,63,3
C,7,Rgp,B8,BtT,mt,Pro68,1420070400000,9,2005-01-07,-9.99999999E8,n,2003-11-09,ciCp7,946684800000,-9.99999999E8,6ROj,kFr,svROm,OP,qr,F,qB,xMG,2000-05-17,2012-12-16,2000-11-18,Renters,p,S7,PuNz,5D9,285,6,RI,u,R,2009-08-19,785,59,2
PGtx,0,A,Sj,uVe9E,MqTs,8,1339284992145,0,2010-06-14,9.999999998999985E9,Jj,2018-03-22,HBf9c,946684800000,-9.99999999E8,jvFX,G5rB,QA5WW,b8l,ByFdf,dbrF,N58,isS13,2019-10-05,2005-12-05,2015-03-27,Private Passenger,A,v,DP,pF8,Glj,6,UT,e,Mur,2000-11-27,1809,45,3
pzq,8,U9zL,NA,fXe,pNv,6pJw5,946684800000,9,2008-10-04,-9.99999998999985E8,IM5G,2001-08-23,X7qSb,946684800000,9.999999998999985E9,L,w,QxHLx,YWIaD,Z4i4,8y,nO,JvX9Q,2002-02-06,2011-12-06,2006-04-14,Private Passenger,loW,vTN,4s,F,Rs6,9,OK,hZ0Kj,So,2001-12-16,856,57,0
R,9,b6,3iql,g,VGBuk,nnpR,946684800000,0,2002-05-08,9.999999999E9,0EA,2014-12-20,R,946684800000,9.999999999E9,2hqbc,yyy48,peB9,yXsY,MP,a8WXg,g8,mK,2000-02-04,2001-09-18,2001-04-19,Renters,n,W3y,di,t,RKZ,9,KY,rG,K0T,2014-06-06,1157,95,2
m7iv,9,5RZ,D4xCM,Z,1LC,S,946684800000,9,2013-09-20,-9.99999999E8,6o,2001-01-16,M,1420070400000,9.999999998999985E9,R8yw,Gd,3,d3,Z6,4jCd,zmKJ,pwm2,2005-04-01,2014-08-13,2017-01-21,Renters,dkUj,Ggjm,D8we0,tEcE1,Rihom,9,ME,bX,sKDuw,2013-11-23,673,95,2
md,0,NbCKJ,GXF,un55,QU,7c,946684800000,4,2010-03-02,9.999999999E9,8J,2007-09-09,L,946684800000,9.999999999E9,kMe,x9bT9,RUJxG,Bya,3ns,Pn,7PV3,iuj,2005-12-28,2016-09-21,2015-04-16,Renters,YXAxd,9sYx,z,G,OCu,9,CO,cxVL,7,2012-09-15,1345,35,1
Of,0,x,d,Us,dtP,CQjOh,1420070400000,9,2009-08-22,9.999999999E9,ZgslZ,2006-07-28,mE9,946684800000,9.999999999E9,M7xG,F,lZR,uzY,f,f,r53,CVpy,2005-12-10,2005-04-05,2012-05-19,Renters,oSN,JHR,pjv9,jXXYZ,PF,9,VT,no23t,SZ,2008-11-28,1962,23,3
uKL0,0,f,N,qlb,I,T,970744197639,9,2009-10-26,9.999999998999985E9,Fah,2012-05-14,Y7r14,1415400460812,9.999999999E9,5Nxz,n,lX,M,T0rbR,hPfMi,uEAE,t1yWj,2005-03-19,2016-10-09,2003-08-10,Renters,sYnV,Vxt,FR,QG6jv,JwLX0,0,KY,gy,I6Z,2019-08-05,1438,94,1
jp,5,ittxB,ZO,n,YhR,7V9,946684800000,9,2005-12-04,-9.99999999E8,m,2014-03-11,gW3fy,1420070400000,-9.99999999E8,JV,M,I3Or,XSQB4,Jde,aql,88Bh,TQ,2019-04-11,2018-08-26,2008-07-10,Renters,bbv,N,yUga,Exd,ayOfT,3,TN,AJW,9dCW0,2015-05-18,1470,39,1
qVq5,9,GVm,E,BLc87,TX,Wqdf,946684800000,0,2014-10-17,-9.99999998999985E8,ODFwy,2012-06-08,cB4zn,946684800000,-9.99999998999985E8,Ik,IA,Re,U,KMOv,JrwVh,5,Tq,2004-02-28,2009-11-11,2006-07-12,Private Passenger,8Ibl,q,7Gi,KokS,Z,0,ND,6N,VY8,2001-08-24,1402,88,2
7L,8,Tz,5MA8g,8qj,u8,f,1254128148236,8,2018-06-19,9.999999999E9,j,2016-04-16,jZA,1420070400000,-9.99999999E8,1LZ,4dao,Vg6S,G,Nq3HR,CQX,6qyT,W,2016-12-10,2008-11-03,2007-01-27,Private Passenger,rcy,DG,K,sJot,EatvE,9,NM,gepJn,QLxic,2017-07-08,1411,81,1
O,3,Ak,LfC4,y4K,GnnFk,aqY,1420070400000,7,2006-10-19,9.999999999E9,VLwef,2009-07-25,Nu,977471938854,9.999999999E9,AG3vt,JnUzA,GLmd,3d,srS4,RfkL,gfu,gb,2014-12-27,2013-08-14,2006-03-23,Private Passenger,v,KyDZ,dM,jHY,DKv8,0,HI,Gnk,EVJB8,2015-01-14,1725,18,3
YBvVw,9,v,4RLFQ,y,p,7BB7f,1420070400000,0,2016-12-05,-9.99999999E8,D,2014-06-10,n5Y,946684800000,9.999999999E9,ho3,Cw9Y,YGk,5p,v,h,sppp,ropK,2003-03-25,2015-08-12,2015-02-25,Private Passenger,sd6,Oi,V2,fC,D,0,GA,uBnXL,vdM,2007-03-21,1928,99,4
cKHcf,0,K,8eG,ATy,FSYsL,NUe,1136882540350,9,2002-08-24,9.999999998999985E9,StxBN,2004-09-10,jt,946684800000,9.999999999E9,4if,55a,F4,9oi4,c,b,K,9VZ,2000-07-22,2014-12-18,2014-07-18,Private Passenger,9T,LxUXI,Zr,PFHXG,ZEc,9,CA,u,EsVT,2018-09-19,878,83,0
aXX,8,jF,Y,UNpG,4G93D,t3uQG,996011117652,0,2012-11-15,9.999999999E9,s,2019-01-14,8nZw,946684800000,-9.99999999E8,wAG,2t8S,JfX,tw,wqgui,tK2H,L,pHdlS,2003-10-27,2001-12-24,2002-12-02,Private Passenger,i,qKM8,7Sl,szYtQ,ZKwfW,5,FL,k,joq6Q,2010-12-02,1106,60,2
y,9,pk5,cZ8f,8czO,Mc,t,1420070400000,9,2003-05-01,9.999999999E9,I,2001-09-27,R90dy,946684800000,-9.99999999E8,T0,46k,yYV,3bnC,f,U,m8tK,6hNA,2016-01-11,2015-11-16,2006-05-16,Renters,eTo,CY74i,dKS5,6G,k0,9,UT,n1AQv,w,2005-03-05,1120,63,2
jhIx,0,ZFtu,1DW6F,NSug5,skNp,r0ZE,1076460013763,7,2011-08-03,9.999999998999985E9,jq,2010-09-14,6ON,946684800000,9.999999999E9,CC2y,85h,AuN,8,R,Czx,Re,iVdV,2010-09-08,2001-10-12,2007-10-11,Renters,OF,Te,azHg8,W,F5VX4,0,ID,O,7,2006-05-12,1348,36,4
J,0,b,2t,ZdH,vBm,Hvo,1420070400000,9,2019-09-24,-9.99999999E8,jTc0,2012-03-17,gCg,1420070400000,-9.99999998999985E8,Fl,8,vQ,cw,9h,Z,116i,rTV,2009-08-02,2001-07-12,2003-12-24,Private Passenger,FR,xlXo,e2,2,Y,0,FL,Bs7,uBt0,2014-01-05,1833,82,3
s6V,5,G,SP,Mec,utxB,eI3zu,1420070400000,8,2014-06-03,-9.99999998999985E8,aP,2005-11-19,Hj8e,1329495571842,-9.99999999E8,aE83,rg,7,xd,VvRx,953BO,Qa,t,2002-03-20,2012-05-28,2018-09-14,Private Passenger,9K,p20R4,F5r,2LHS,LO,1,AZ,DdRj,tuE,2003-03-24,954,28,0
lTL,9,Y,Ufy,C9,4x,QPYoz,946684800000,4,2007-08-26,9.999999999E9,u,2019-09-20,BT,1420070400000,9.999999999E9,rv5,9T,q,QE,FnAp,fYV,Yci,uTDt,2008-02-10,2012-12-19,2015-06-13,Renters,I5d,39,j,YR,c8b,0,DC,T,ChYyd,2019-03-11,1047,66,0
1,9,Mbb,iCh,t,qsu,k,946684800000,9,2009-10-22,9.999999998999985E9,e3LZ,2015-03-11,VFyen,1127404678504,9.999999999E9,nX1bA,QpV,c5,6F,v,C,d8fYH,5VX1u,2012-01-09,2000-06-03,2012-08-26,Renters,YozFj,sq,KPdm1,C,3kBv,9,DE,dixv,Qnerf,2009-07-22,1915,67,3
